,AQI
1473,34.0
1474,37.0
1475,35.0
1476,28.0
1477,30.0
1478,43.0
1479,33.0
1480,29.0
1481,35.0
1482,32.0
1483,25.0
1484,33.0
1485,44.0
1486,57.0
1487,28.0
1488,56.0
1489,41.0
1490,40.0
1491,43.0
1492,49.0
1493,50.0
1494,55.0
1495,75.0
1496,38.0
1497,22.0
1498,54.0
1499,40.0
1500,53.0
1501,38.0
1502,19.0
1503,32.0
1504,30.0
1505,31.0
1506,27.0
1507,36.0
1508,35.0
1509,38.0
1510,35.0
1511,30.0
1512,34.0
1513,74.0
1514,52.0
1515,38.0
1516,34.0
1517,50.0
1518,29.0
1519,29.0
1520,26.0
1521,24.0
1522,31.0
1523,68.0
1524,30.0
1525,34.0
1526,34.0
1527,75.0
1528,56.0
1529,44.0
1530,52.0
1531,52.0
1532,38.0
1533,37.0
1534,41.0
1535,41.0
1536,41.0
1537,41.0
1538,41.0
1539,38.0
1540,35.0
1541,33.0
1542,30.0
1543,33.0
1544,35.0
1545,37.0
1546,37.0
1547,40.0
1548,44.0
1549,60.0
1550,51.0
1551,47.0
1552,33.0
1553,48.0
1554,49.0
1555,47.0
1556,46.0
1557,45.0
1558,35.0
1559,32.0
1560,51.0
1561,73.0
1562,72.0
1563,63.0
1564,44.0
1565,43.0
1566,57.0
1567,56.0
1568,31.0
1569,44.0
1570,43.0
1571,44.0
1572,48.0
1573,27.0
1574,31.0
1575,43.0
1576,35.0
1577,51.0
1578,43.0
1579,57.0
1580,92.0
1581,87.0
1582,222.0
1583,231.0
1584,313.0
1585,87.0
1586,83.0
1587,71.0
1588,66.0
1589,108.0
1590,76.0
1591,36.0
1592,46.0
1593,41.0
1594,52.0
1595,99.0
1596,107.0
1597,99.0
1598,106.0
1599,96.0
1600,105.0
1601,44.0
1602,22.0
1603,40.0
1604,87.0
1605,104.0
1606,127.0
1607,103.0
1608,104.0
1609,108.0
1610,115.0
1611,59.0
1612,43.0
1613,39.0
1614,73.0
1615,81.0
1616,79.0
1617,125.0
1618,176.0
1619,129.0
1620,105.0
1621,82.0
1622,56.0
1623,54.0
1624,96.0
1625,156.0
1626,129.0
1627,124.0
1628,106.0
1629,28.0
1630,24.0
1631,31.0
1632,41.0
1633,40.0
1634,63.0
1635,82.0
1636,106.0
1637,140.0
1638,109.0
1639,87.0
1640,78.0
1641,87.0
1642,97.0
1643,94.0
1644,56.0
1645,31.0
1646,37.0
1647,45.0
1648,56.0
1649,65.0
1650,84.0
1651,78.0
1652,84.0
1653,83.0
1654,92.0
1655,87.0
1656,104.0
1657,105.0
1658,148.0
1659,104.0
1660,101.0
1661,94.0
1662,101.0
1663,101.0
1664,102.0
1665,89.0
1666,85.0
1667,89.0
1668,81.0
1669,91.0
1670,94.0
1671,92.0
1672,94.0
1673,88.0
1674,74.0
1675,84.0
1676,107.0
1677,105.0
1678,88.0
1679,102.0
1680,86.0
1681,82.0
1682,105.0
1683,112.0
1684,99.0
1685,95.0
1686,111.0
1687,105.0
1688,113.0
1689,118.0
1690,111.0
1691,111.0
1692,110.0
1693,107.0
1694,114.0
1695,107.0
1696,109.0
1697,110.0
1698,107.0
1699,106.0
1700,106.0
1701,103.0
1702,103.0
1703,107.0
1704,108.0
1705,83.0
1706,97.0
1707,113.0
1708,84.0
1709,101.0
1710,92.0
1711,101.0
1712,114.0
1713,108.0
1714,111.0
1715,98.0
1716,94.0
1717,93.0
1718,92.0
1719,99.0
1720,109.0
